eval,best_fitness,best_cov,best_time,best_size,is_feasible,best_selected_tests,best_included_elements
31,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
32,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
33,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
34,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
35,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
36,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
37,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
38,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
39,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
40,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
41,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
42,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
43,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
44,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
