algorithm,seed,final_best_fitness,final_best_cov,final_best_time,final_best_size,final_best_feasible,selected_tests,included_elements
A_pure_random_sampling,25,0.933186,20,14.0000,8,1,"t5 t6 t8 t12 t13 t17 t23 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,26,0.930990,20,14.5000,8,1,"t2 t3 t5 t14 t15 t17 t19 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,27,0.925721,20,15.7000,8,1,"t1 t2 t3 t9 t11 t14 t17 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,28,0.929022,20,15.1000,7,1,"t2 t3 t5 t6 t7 t8 t24","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,29,0.926826,20,15.6000,7,1,"t2 t5 t6 t7 t8 t12 t22","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
A_pure_random_sampling,30,0.934943,20,13.6000,8,1,"t2 t5 t9 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,1,0.951207,20,10.2000,6,1,"t2 t3 t5 t6 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,2,0.931657,20,14.5000,7,1,"t9 t11 t12 t14 t21 t23 t25","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,3,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,4,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,5,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,6,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,7,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,8,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,9,0.923752,20,16.3000,7,1,"t6 t7 t9 t12 t14 t23 t25","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,10,0.940228,20,12.7000,6,1,"t4 t5 t7 t8 t12 t14","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,11,0.935609,20,13.6000,7,1,"t5 t11 t12 t14 t16 t23 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
